cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_361,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_311,n2-highcpu-8,n2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_282,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_232,n2-standard-32,n2,10,10,320,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_73,e2-standard-32,e2,79,79,2528,2528,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_15,n2d-standard-32,n2d,79,79,2528,2528,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_20,n2-standard-32,n2,17,17,544,544,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_80,n2-standard-32,n2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_322,n2-standard-32,n2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_275,n2-standard-32,n2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_253,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_333,n2-standard-32,n2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_214,n2-standard-32,n2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_172,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_343,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_264,e2-highcpu-32,e2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_180,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_186,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_62,e2-standard-32,e2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_224,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_40,n2-highcpu-8,n2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_246,e2-standard-32,e2,10,10,320,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_5,n2-highcpu-8,n2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_191,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_106,n2-standard-32,n2,34,34,1088,1088,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_24,e2-standard-32,e2,19,19,608,608,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_358,e2-highcpu-8,e2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_301,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_231,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_65,e2-standard-32,e2,14,14,448,448,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_51,n2d-standard-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_286,n2-standard-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_323,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_128,n2d-standard-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_2,n2d-standard-32,n2d,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_210,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_337,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_347,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_220,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_160,n2d-standard-32,n2d,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_328,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_250,n2-highcpu-8,n2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_117,e2-standard-32,e2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_261,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_369,n2d-standard-32,n2d,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_312,n2-standard-32,n2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_135,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_68,e2-standard-32,e2,37,37,1184,1184,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_178,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_17,n2d-standard-32,n2d,12,12,384,384,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_354,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_197,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_208,n2-standard-32,n2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_235,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_317,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_94,n2d-standard-32,n2d,59,59,1888,1888,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_340,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_351,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_43,n2-standard-32,n2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_124,n2-standard-32,n2,14,14,448,448,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_203,e2-highcpu-32,e2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_113,e2-standard-32,e2,97,97,3104,3104,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_281,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_32,n2-standard-32,n2,14,14,448,448,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_46,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_35,n2-standard-32,n2,40,40,1280,1280,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_10,n2-standard-32,n2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_139,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_365,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_295,n2d-standard-32,n2d,10,10,320,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_97,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_198,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_193,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_146,n2d-standard-32,n2d,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_279,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_6,e2-highcpu-32,e2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_177,n2d-standard-32,n2d,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_39,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_83,n2-standard-32,n2,28,28,896,896,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_168,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_257,n2d-highcpu-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_75,e2-standard-32,e2,16,16,512,512,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_283,n2d-standard-32,n2d,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_157,n2d-highcpu-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_57,n2d-standard-32,n2d,45,45,1440,1440,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_268,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_306,e2-standard-32,e2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_182,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_187,n2-standard-32,n2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_86,e2-standard-32,e2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_38,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_292,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_54,n2-standard-32,n2,70,70,2240,2240,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_242,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_27,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_272,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_270,e2-highcpu-32,e2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_362,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_102,e2-standard-32,e2,114,114,3648,3648,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_21,n2d-standard-32,n2d,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_217,n2d-highcpu-32,n2d,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_360,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_72,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_223,n2d-standard-32,n2d,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_105,n2-standard-32,n2,26,26,832,832,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_238,n2d-standard-32,n2d,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_278,n2d-standard-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_364,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_332,n2d-highcpu-8,n2d,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_175,n2d-standard-32,n2d,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_74,n2-standard-32,n2,110,110,3520,3520,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_324,n2d-standard-32,n2d,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_294,n2d-highcpu-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_85,n2d-standard-32,n2d,16,16,512,512,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_342,e2-standard-32,e2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_302,e2-highcpu-32,e2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_179,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_166,e2-standard-32,e2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_262,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_249,n2d-highcpu-32,n2d,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_213,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_284,n2d-standard-32,n2d,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_227,e2-standard-32,e2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_23,n2d-standard-32,n2d,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_66,e2-standard-32,e2,17,17,544,544,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_289,n2d-standard-32,n2d,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_116,e2-standard-32,e2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_234,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_12,n2d-standard-32,n2d,76,76,2432,2432,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_1,e2-highcpu-32,e2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_49,e2-standard-32,e2,15,15,480,480,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_368,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_336,n2-standard-32,n2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_273,e2-standard-32,e2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_313,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_190,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_185,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_353,n2-highcpu-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_251,e2-standard-32,e2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_245,n2-standard-32,n2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_55,e2-standard-32,e2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_127,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_256,e2-standard-32,e2,13,13,416,416,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_267,n2-standard-32,n2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_240,n2-highcpu-8,n2,2,4,16,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_112,n2-standard-32,n2,20,20,640,640,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_145,e2-standard-32,e2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_327,n2-standard-32,n2,9,10,288,320,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_71,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_9,n2-standard-32,n2,51,51,1632,1632,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_13,e2-standard-32,e2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_82,e2-standard-32,e2,42,42,1344,1344,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_22,n2d-highcpu-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_16,e2-standard-32,e2,91,91,2912,2912,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_309,n2d-highcpu-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_96,n2-standard-32,n2,40,40,1280,1280,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_357,n2d-highcpu-32,n2d,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_316,n2d-standard-32,n2d,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_239,n2d-standard-32,n2d,8,8,256,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_123,n2d-standard-32,n2d,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_134,n2d-standard-32,n2d,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_204,n2-highcpu-32,n2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_11,n2-highcpu-8,n2,2,4,16,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_199,n2-standard-32,n2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_156,n2-standard-32,n2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_101,n2d-standard-32,n2d,79,79,2528,2528,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_33,n2-standard-32,n2,89,89,2848,2848,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_218,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_149,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_188,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_228,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_320,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_78,e2-highcpu-8,e2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_171,e2-standard-32,e2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_161,e2-standard-32,e2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_305,e2-standard-32,e2,6,6,192,192,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_346,e2-highcpu-32,e2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_89,e2-highcpu-8,e2,3,4,24,32,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_196,e2-standard-32,e2,11,11,352,352,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_93,n2-standard-32,n2,34,34,1088,1088,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_138,e2-standard-32,e2,7,8,224,256,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_297,e2-standard-32,e2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_167,e2-highcpu-32,e2,2,4,64,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_150,e2-highcpu-32,e2,3,4,96,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_44,e2-standard-32,e2,4,4,128,128,performance_biased,performance_biased,8cx2GBpc,""
cluster-wf_spark_200,e2-standard-32,e2,5,6,160,192,performance_biased,performance_biased,8cx2GBpc,""
